match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7617801044,15.23.728.3286,420,1829,CLASSIC,1,134,-1,800,43,246,0,555,10,246,126,-1,904,64,13,21,40,27,91,7,96,432,1,True
EUW1_7617845711,15.23.728.3286,420,2285,CLASSIC,1,64,904,555,119,799,0,555,119,904,122,91,9,121,800,15,117,4,68,246,18,432,1,True
EUW1_7618855025,15.23.728.3286,420,2108,CLASSIC,1,53,54,64,555,11,0,555,-1,-1,111,904,67,91,7,136,80,897,234,142,145,432,1,True
EUW1_7620108235,15.23.728.3286,420,1741,CLASSIC,1,105,161,19,92,804,0,117,64,800,904,114,41,246,517,21,267,14,91,84,22,37,1,True
EUW1_7621123107,15.23.728.3286,420,2367,CLASSIC,1,107,157,8,904,246,0,246,91,55,7,800,85,517,62,22,526,14,76,134,901,89,1,True
EUW1_7622353248,15.23.728.3286,420,1916,CLASSIC,1,61,800,145,246,555,0,246,238,432,904,54,80,91,887,81,34,23,28,777,18,111,1,True
EUW1_7623614321,15.23.728.3286,420,1587,CLASSIC,1,119,107,-1,9,114,0,107,246,55,67,555,516,91,85,21,432,897,17,126,110,99,1,True
EUW1_7624705689,15.23.728.3286,420,1643,CLASSIC,0,84,119,904,800,246,1,246,83,-1,555,799,31,91,887,895,432,24,64,79,145,497,0,True
EUW1_7625653805,15.23.728.3286,420,1645,CLASSIC,1,800,-1,13,54,804,0,246,84,111,64,-1,133,517,23,202,43,245,91,24,236,267,1,True
EUW1_7625699310,15.23.728.3286,420,2076,CLASSIC,0,13,67,64,800,799,1,76,432,246,166,134,904,91,245,133,111,69,234,112,901,201,0,True
