match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
BR1_3134048304,15.16.706.7476,420,1591,CLASSIC,1,42,126,246,555,114,0,77,804,35,110,157,92,11,54,236,37,58,238,13,166,78,1,True
BR1_3134096093,15.16.706.7476,420,1675,CLASSIC,0,-1,236,238,77,37,1,517,92,7,81,804,887,80,42,145,432,893,245,268,18,12,0,True
BR1_3134127289,15.16.706.7476,420,1479,CLASSIC,1,92,38,-1,555,517,0,238,11,-1,110,157,266,245,163,523,37,897,80,893,804,16,1,True
BR1_3134414297,15.16.706.7476,420,2367,CLASSIC,1,111,238,804,-1,8,0,145,236,3,35,17,517,950,157,147,235,893,141,268,202,432,1,True
BR1_3134728960,15.16.706.7476,420,1384,CLASSIC,0,8,950,245,804,157,1,238,804,-1,48,115,83,163,893,69,111,875,80,101,119,555,0,True
BR1_3134747261,15.16.706.7476,420,1649,CLASSIC,1,238,78,950,804,37,0,101,804,238,48,-1,799,80,61,51,518,58,5,142,236,201,1,True
BR1_3134880301,15.16.706.7476,420,1558,CLASSIC,0,555,122,38,246,804,1,126,61,876,804,111,107,59,163,110,267,92,154,10,99,235,0,True
BR1_3135971555,15.17.706.7412,420,1583,CLASSIC,0,238,107,246,35,804,1,78,-1,238,-1,54,68,5,112,236,37,126,24,893,202,43,0,True
BR1_3136229258,15.17.707.9808,420,1269,CLASSIC,1,60,-1,154,-1,8,0,92,-1,7,11,804,133,48,893,115,555,79,950,166,235,497,1,True
BR1_3136525081,15.17.708.2856,420,1834,CLASSIC,1,555,157,44,24,246,0,84,246,804,-1,107,268,48,55,22,16,893,233,238,202,267,1,True
BR1_3137122950,15.17.708.5788,420,1127,CLASSIC,1,64,107,35,246,133,0,157,-1,238,246,107,92,200,517,804,902,893,5,43,235,111,1,True
BR1_3137155887,15.17.708.5788,420,1426,CLASSIC,1,80,-1,107,92,517,0,80,950,-1,238,133,893,234,268,110,12,68,62,157,15,432,1,True
BR1_3137339821,15.17.708.5788,420,1431,CLASSIC,0,201,38,107,-1,62,1,804,-1,799,246,84,68,80,13,42,526,893,5,238,15,43,0,True
BR1_3137486729,15.17.708.5788,420,1806,CLASSIC,0,804,555,246,238,126,1,238,-1,157,107,-1,92,24,4,221,37,54,5,43,145,111,0,True
BR1_3137511168,15.17.708.5788,420,1899,CLASSIC,0,91,126,-1,107,157,1,246,555,-1,157,107,92,5,142,804,117,106,59,800,115,37,0,True
BR1_3137559585,15.17.708.5788,420,1478,CLASSIC,0,238,11,517,92,245,1,77,8,246,107,126,31,106,39,800,43,58,234,61,22,432,0,True
BR1_3137825172,15.17.708.5788,420,1112,CLASSIC,1,-1,246,114,-1,893,0,246,92,76,432,91,14,56,8,236,267,23,30,777,235,12,1,True
BR1_3138028742,15.17.708.5788,420,1779,CLASSIC,0,77,107,7,-1,126,1,233,887,-1,8,246,24,238,84,804,902,78,11,517,523,117,0,True
BR1_3138072057,15.17.708.5788,420,1726,CLASSIC,0,950,11,246,-1,8,1,78,-1,8,-1,55,83,60,517,804,201,799,64,1,523,12,0,True
BR1_3138089442,15.17.708.5788,420,1836,CLASSIC,0,55,555,246,107,39,1,30,35,-1,950,236,58,11,112,221,37,14,238,1,804,432,0,True
BR1_3138101774,15.17.708.5788,420,1538,CLASSIC,0,92,35,800,238,-1,1,246,804,238,35,8,24,234,166,115,267,42,106,112,22,53,0,True
BR1_3138201363,15.17.708.5788,420,1194,CLASSIC,0,895,238,35,54,92,1,-1,7,-1,246,157,68,62,163,222,526,893,5,134,804,117,0,True
BR1_3138255876,15.17.708.5788,420,1730,CLASSIC,0,37,517,-1,126,7,1,-1,238,-1,92,804,157,91,246,202,432,17,143,112,22,555,0,True
