match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7509145811,15.17.706.7412,420,1468,CLASSIC,0,897,246,-1,27,91,1,-1,234,80,55,38,36,254,1,202,78,83,64,893,804,12,0,True
EUW1_7510000204,15.17.706.7412,420,2074,CLASSIC,1,555,83,893,91,35,0,777,804,526,80,92,126,113,234,910,78,36,64,136,145,111,1,True
EUW1_7510031611,15.17.706.7412,420,1923,CLASSIC,0,777,254,107,78,103,1,80,-1,-1,799,83,126,154,136,21,111,14,30,268,42,526,0,True
EUW1_7510992785,15.17.707.9808,420,1446,CLASSIC,1,203,246,126,48,35,0,166,897,38,91,107,26,2,127,804,111,79,67,7,42,201,1,True
EUW1_7511062659,15.17.707.9808,420,915,CLASSIC,0,-1,166,91,-1,58,1,107,-1,268,-1,804,8,246,142,523,40,13,517,2,42,526,0,True
EUW1_7511834878,15.17.708.2856,420,2067,CLASSIC,1,91,246,53,92,10,0,119,91,142,126,107,13,35,55,202,37,897,64,268,804,350,1,True
EUW1_7511905820,15.17.708.2856,420,1459,CLASSIC,1,143,8,107,76,53,0,13,91,238,20,246,24,2,7,804,412,68,59,55,15,37,1,True
EUW1_7512930647,15.17.708.5788,420,932,CLASSIC,0,238,39,78,-1,48,1,2,246,7,555,133,799,80,154,804,201,58,517,134,18,12,0,True
EUW1_7513147819,15.17.708.5788,420,910,CLASSIC,1,-1,555,91,126,238,0,555,24,75,804,166,27,246,134,18,117,31,234,142,222,235,1,True
EUW1_7513994012,15.17.708.5788,420,1645,CLASSIC,0,238,106,555,68,91,1,897,238,804,246,13,62,200,115,235,412,893,5,55,429,89,0,True
EUW1_7514041791,15.17.708.5788,420,1650,CLASSIC,0,246,238,200,9,119,1,246,91,-1,114,13,799,234,134,145,555,897,203,55,235,432,0,True
EUW1_7514590128,15.17.708.5788,420,2146,CLASSIC,1,518,122,8,804,-1,0,246,18,-1,107,42,84,234,61,15,497,421,143,81,145,555,1,True
EUW1_7514728962,15.17.708.5788,420,913,CLASSIC,0,201,27,107,166,119,1,24,-1,166,432,91,799,28,4,804,517,126,62,142,21,497,0,True
EUW1_7515236117,15.17.708.5788,420,1309,CLASSIC,1,254,76,58,126,-1,0,91,106,27,-1,246,799,5,3,804,40,240,234,134,523,412,1,True
EUW1_7515320036,15.17.708.5788,420,2004,CLASSIC,1,246,7,80,38,555,0,107,234,91,24,804,68,64,142,21,9,58,11,13,236,902,1,True
EUW1_7515441633,15.17.708.5788,420,1235,CLASSIC,0,432,166,38,55,233,1,799,888,246,-1,2,897,238,893,804,12,150,234,7,22,526,0,True
EUW1_7515556161,15.17.708.5788,420,2044,CLASSIC,0,246,517,15,7,804,1,804,201,246,8,92,897,245,134,42,555,114,234,103,523,526,0,True
EUW1_7515574789,15.17.708.5788,420,1095,CLASSIC,0,91,517,36,246,27,1,91,432,166,246,8,14,78,103,804,43,83,421,142,202,518,0,True
EUW1_7515617986,15.17.708.5788,420,1226,CLASSIC,1,145,91,517,799,114,0,8,432,238,246,92,67,14,103,202,43,266,35,1,804,497,1,True
EUW1_7515704689,15.17.708.5788,420,1149,CLASSIC,0,432,-1,555,91,150,1,887,27,91,804,246,54,56,61,523,3,421,143,166,15,53,0,True
EUW1_7515755607,15.17.708.5788,420,1777,CLASSIC,0,-1,-1,91,887,-1,1,887,555,35,246,38,14,78,268,804,117,36,517,166,110,432,0,True
EUW1_7516094185,15.17.708.5788,420,1525,CLASSIC,1,555,246,15,114,78,0,58,246,555,103,62,240,200,55,26,44,799,517,42,804,40,1,True
EUW1_7516100394,15.17.708.5788,420,1543,CLASSIC,0,236,432,246,85,107,1,107,246,-1,78,432,122,5,3,804,902,68,80,163,901,53,0,True
EUW1_7516101915,15.17.708.5788,420,2401,CLASSIC,1,39,-1,35,804,246,0,804,58,80,-1,-1,268,62,3,15,497,84,64,92,81,555,1,True
EUW1_7516125138,15.17.708.5788,420,1441,CLASSIC,1,804,91,13,246,27,0,246,432,61,81,-1,154,517,55,901,267,164,62,26,136,235,1,True
EUW1_7516129324,15.17.708.5788,420,2067,CLASSIC,1,78,36,236,-1,8,0,126,246,238,91,85,14,121,517,523,526,122,234,1,202,12,1,True
EUW1_7516151185,15.17.708.5788,420,1660,CLASSIC,0,526,555,-1,-1,238,1,246,39,13,107,30,68,234,142,10,111,268,254,55,804,201,0,True
EUW1_7516166656,15.17.708.5788,420,1657,CLASSIC,0,804,76,154,83,799,1,246,804,234,-1,799,893,104,126,22,60,516,143,42,145,518,0,True
EUW1_7516201404,15.17.708.5788,420,1693,CLASSIC,1,110,107,246,13,67,0,119,126,7,246,85,875,80,55,81,12,10,421,517,804,412,1,True
EUW1_7516225020,15.17.708.5788,420,1415,CLASSIC,1,163,555,107,804,150,0,246,555,7,42,27,98,517,157,145,32,67,106,777,115,526,1,True
EUW1_7516256345,15.17.708.5788,420,2242,CLASSIC,1,246,555,40,61,58,0,200,804,246,432,39,799,238,84,18,518,27,234,55,221,111,1,True
EUW1_7516257235,15.17.708.5788,420,935,CLASSIC,0,799,96,246,14,804,1,111,517,246,107,114,68,234,34,145,57,31,59,103,202,432,0,True
EUW1_7516291758,15.17.708.5788,420,1654,CLASSIC,0,555,27,804,432,166,1,246,804,91,27,200,14,234,103,42,526,154,421,268,21,78,0,True
EUW1_7516347495,15.17.708.5788,420,963,CLASSIC,0,8,91,246,234,-1,1,799,76,13,555,110,887,238,893,202,526,142,107,55,81,267,0,True
EUW1_7516378836,15.17.708.5788,420,2097,CLASSIC,0,91,7,22,122,804,1,126,804,13,200,119,24,246,38,42,555,79,121,55,523,78,0,True
EUW1_7516530475,15.17.708.5788,420,1295,CLASSIC,0,91,27,246,35,166,1,246,517,200,91,893,68,107,163,804,43,897,234,13,222,53,0,True
EUW1_7516578336,15.17.708.5788,420,1844,CLASSIC,0,35,246,107,8,804,1,804,893,246,114,517,41,91,163,81,43,266,64,61,15,518,0,True
EUW1_7516644219,15.17.708.5788,420,1625,CLASSIC,0,-1,246,76,254,8,1,35,799,91,40,246,893,517,126,804,117,240,5,163,222,412,0,True
EUW1_7516725983,15.17.708.5788,420,1430,CLASSIC,1,91,246,804,1,107,0,68,246,166,799,238,897,77,133,81,142,150,63,126,42,111,1,True
EUW1_7516825804,15.17.708.5788,420,1123,CLASSIC,1,55,8,555,91,246,0,804,107,81,799,246,887,106,61,42,78,897,517,166,99,53,1,True
EUW1_7517152681,15.17.708.5788,420,1590,CLASSIC,1,92,81,27,246,432,0,81,799,126,80,432,266,2,61,45,59,24,64,517,42,555,1,True
EUW1_7517176864,15.17.708.5788,420,1524,CLASSIC,1,76,804,27,85,432,0,555,80,114,-1,119,122,517,238,99,526,31,64,268,18,79,1,True
EUW1_7517318036,15.17.708.5788,420,2192,CLASSIC,1,888,804,526,85,126,0,-1,7,234,122,-1,24,91,13,222,432,41,517,134,15,111,1,True
EUW1_7517410128,15.17.708.5788,420,1624,CLASSIC,0,91,201,30,92,-1,1,432,888,895,7,98,516,246,84,119,111,54,234,134,81,16,0,True
EUW1_7517484614,15.17.708.5788,420,1510,CLASSIC,0,888,887,90,246,432,1,432,246,43,91,126,14,234,142,18,526,92,517,99,804,555,0,True
EUW1_7517704308,15.17.708.5788,420,1042,CLASSIC,1,107,166,91,804,10,0,245,133,91,-1,799,24,2,134,110,12,84,77,142,202,43,1,True
EUW1_7517762803,15.17.708.5788,420,913,CLASSIC,0,-1,950,58,246,126,1,517,35,40,799,91,92,48,7,804,518,86,427,163,81,432,0,True
EUW1_7517811833,15.17.708.5788,420,1858,CLASSIC,0,245,517,76,27,10,1,107,91,54,119,799,893,62,103,804,518,67,246,163,42,111,0,True
EUW1_7517842020,15.17.708.5788,420,1443,CLASSIC,0,77,238,799,804,27,1,432,91,897,166,126,41,35,893,145,555,83,234,142,81,518,0,True
EUW1_7518084882,15.17.708.5788,420,1345,CLASSIC,0,30,40,245,114,61,1,27,131,68,203,84,24,421,10,202,80,17,234,777,145,111,0,True
EUW1_7518245640,15.17.708.5788,420,1274,CLASSIC,1,105,166,246,8,-1,0,119,7,432,893,40,777,48,13,145,53,98,79,55,202,201,1,True
EUW1_7518328727,15.17.708.5788,420,1441,CLASSIC,0,119,8,40,804,238,1,10,38,517,111,133,14,80,711,81,43,887,234,7,145,78,0,True
EUW1_7518354636,15.17.708.5788,420,1856,CLASSIC,1,91,110,83,804,200,0,133,91,432,98,234,79,78,34,81,111,82,246,13,221,117,1,True
EUW1_7518364699,15.17.708.5788,420,1617,CLASSIC,0,804,-1,35,126,133,1,799,39,517,804,238,85,5,13,21,497,104,950,134,800,78,0,True
EUW1_7518404584,15.17.708.5788,420,1365,CLASSIC,0,526,91,518,246,517,1,799,107,238,-1,-1,126,234,103,145,555,39,80,893,804,497,0,True
EUW1_7518450559,15.17.708.5788,420,1785,CLASSIC,1,555,110,246,517,91,0,799,107,7,145,8,68,62,103,81,497,266,234,134,804,44,1,True
EUW1_7518460063,15.17.708.5788,420,1659,CLASSIC,0,888,246,-1,119,804,1,-1,91,432,200,246,31,234,1,523,235,516,517,240,42,16,0,True
EUW1_7518490760,15.17.708.5788,420,2311,CLASSIC,1,35,119,8,887,804,0,19,517,110,-1,7,897,254,103,96,111,58,246,134,81,432,1,True
EUW1_7518519303,15.17.708.5788,420,1661,CLASSIC,1,804,234,526,114,85,0,246,133,238,91,266,122,517,18,42,555,14,5,268,115,78,1,True
EUW1_7518721343,15.17.708.5788,420,1232,CLASSIC,1,246,799,432,804,555,0,804,91,517,555,246,14,421,134,42,518,39,77,103,18,201,1,True
EUW1_7518808656,15.17.708.5788,420,1649,CLASSIC,1,234,119,39,91,35,0,91,238,246,10,-1,893,59,163,804,497,799,517,221,110,78,1,True
EUW1_7518842086,15.17.708.5788,420,1444,CLASSIC,0,804,77,432,126,85,1,246,166,234,432,98,122,950,84,22,201,799,517,7,145,12,0,True
EUW1_7519071629,15.17.708.5788,420,1660,CLASSIC,1,78,40,103,10,114,0,80,246,166,91,432,68,200,3,42,60,112,77,266,804,497,1,True
EUW1_7519123514,15.17.708.5788,420,1190,CLASSIC,0,777,133,126,799,526,1,517,236,141,523,887,31,246,26,498,350,266,254,103,910,235,0,True
EUW1_7519130499,15.17.708.5788,420,1379,CLASSIC,0,-1,119,126,800,85,1,91,80,555,246,268,122,238,127,67,111,24,56,54,235,432,0,True
EUW1_7519810849,15.17.708.5788,420,1620,CLASSIC,1,799,517,804,11,246,0,804,-1,58,161,80,76,143,18,145,497,24,245,221,498,40,1,True
EUW1_7520057952,15.17.708.5788,420,1432,CLASSIC,0,246,893,517,10,126,1,64,236,246,893,777,77,120,105,42,235,122,121,136,523,117,0,True
EUW1_7520074479,15.17.708.5788,420,1643,CLASSIC,1,246,53,893,799,-1,0,7,143,-1,136,555,117,35,18,51,99,897,876,101,42,16,1,True
EUW1_7520307160,15.17.708.5788,420,1554,CLASSIC,1,246,-1,91,10,42,0,517,61,246,526,80,17,5,2,804,555,39,63,75,523,497,1,True
EUW1_7520382235,15.17.708.5788,420,1652,CLASSIC,1,238,38,517,246,80,0,35,86,78,114,107,68,56,115,42,526,799,62,101,119,555,1,True
EUW1_7520435987,15.17.708.5788,420,1815,CLASSIC,1,126,134,107,246,555,0,91,432,58,-1,107,27,950,154,804,518,799,35,13,523,16,1,True
EUW1_7520581931,15.17.708.5788,420,1910,CLASSIC,1,-1,-1,166,-1,246,0,166,246,245,91,-1,266,517,893,145,53,777,80,85,804,89,1,True
EUW1_7520685373,15.17.708.5788,420,1712,CLASSIC,1,517,92,246,804,7,0,246,92,91,799,27,68,78,1,42,518,76,5,90,498,888,1,True
EUW1_7520768337,15.17.708.5788,420,1339,CLASSIC,1,246,897,555,-1,35,0,246,126,10,27,166,14,517,42,202,518,92,238,142,804,43,1,True
EUW1_7521173732,15.17.708.5788,420,1321,CLASSIC,0,804,523,893,-1,61,1,233,126,85,432,517,114,246,268,110,78,122,80,7,145,12,0,True
EUW1_7521287077,15.17.708.5788,420,1921,CLASSIC,1,555,7,60,126,91,0,800,497,39,114,246,122,238,101,804,518,98,234,163,21,89,1,True
EUW1_7521759239,15.17.708.5788,420,956,CLASSIC,1,233,91,804,35,38,0,39,133,7,432,234,126,80,163,202,78,82,246,157,42,111,1,True
EUW1_7521796075,15.17.708.5788,420,1930,CLASSIC,0,10,234,35,38,39,1,-1,126,-1,76,238,68,64,61,804,555,110,246,3,910,432,0,True
EUW1_7521872884,15.17.708.5788,420,1718,CLASSIC,0,517,27,893,107,246,1,78,80,238,804,517,799,5,142,236,526,79,245,777,145,12,0,True
EUW1_7521915453,15.17.708.5788,420,1716,CLASSIC,0,78,58,432,35,166,1,238,234,-1,804,-1,799,246,142,498,43,68,517,777,15,117,0,True
EUW1_7521962340,15.17.708.5788,420,1739,CLASSIC,1,78,238,234,58,166,0,15,804,-1,35,83,114,246,142,901,555,14,517,115,81,432,1,True
EUW1_7522169653,15.17.708.5788,420,1051,CLASSIC,0,10,91,950,8,246,1,517,10,893,119,7,83,234,1,145,40,114,113,134,18,555,0,True
EUW1_7522185618,15.17.708.5788,420,1740,CLASSIC,0,432,-1,91,84,8,1,10,901,893,-1,96,68,80,245,804,555,114,64,90,42,518,0,True
EUW1_7522206916,15.17.708.5788,420,2501,CLASSIC,1,98,246,10,27,517,0,134,19,80,61,12,893,106,234,804,16,799,56,38,15,518,1,True
EUW1_7522213966,15.17.708.5788,420,2099,CLASSIC,0,40,804,-1,-1,126,1,246,81,517,27,15,14,121,112,154,235,78,48,61,45,12,0,True
EUW1_7522214318,15.17.708.5788,420,1270,CLASSIC,0,133,114,804,555,238,1,-1,888,10,40,-1,14,246,115,235,526,83,234,4,42,89,0,True
EUW1_7522240772,15.17.708.5788,420,2663,CLASSIC,1,80,122,432,804,246,0,10,804,-1,246,517,68,56,238,115,526,14,62,20,110,497,1,True
EUW1_7522298184,15.17.708.5788,420,1417,CLASSIC,1,555,7,517,126,85,0,432,555,517,36,122,24,60,134,804,117,54,950,103,901,526,1,True
EUW1_7522779967,15.17.708.5788,420,1483,CLASSIC,0,246,166,432,61,-1,1,126,1,10,60,804,38,517,42,523,412,27,80,133,221,201,0,True
EUW1_7522823488,15.17.708.5788,420,1618,CLASSIC,1,91,-1,555,804,893,0,799,119,61,166,2,58,246,3,523,43,516,234,221,15,53,1,True
EUW1_7522843640,15.17.708.5788,420,1408,CLASSIC,0,18,-1,14,-1,246,1,42,38,432,111,238,897,106,115,202,53,799,517,126,804,40,0,True
EUW1_7523093953,15.17.708.5788,420,2248,CLASSIC,0,804,91,799,897,517,1,78,10,84,114,7,39,82,13,18,53,24,154,910,42,98,0,True
EUW1_7523169125,15.17.708.5788,420,1133,CLASSIC,0,233,58,78,234,246,1,-1,804,555,893,-1,799,517,268,235,526,114,238,115,145,111,0,True
